"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10"
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-05","14.76",,"0.00",,"0.0","0.0",,"83","44",,"  220","  200","25.1","38.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-06","15.66",,"0.00",,"0.0","0.0",,"86","45",,"  240","  240","33.1","42.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-07","11.63",,"0.00",,"0.0","0.0",,"86","48",,"  270","  240","23.0","28.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-08","17.22",,"0.00",,"0.0","0.0",,"88","52",,"  200","  200","36.0","48.1",,,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-09","14.54",,"0.00",,"0.0","0.0",,"71","42",,"   30","   30","23.9","33.1",,,,,,,,"    1",,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-10","9.84",,"0.00",,"0.0","0.0",,"69","32",,"  160","  150","23.0","29.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-11","16.11",,"0.00",,"0.0","0.0",,"74","41",,"  130","  140","35.1","40.9",,,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-12","13.65",,"0.00",,"0.0","0.0",,"83","58",,"  190","  190","25.1","33.1","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-13","15.21",,"0.03",,"0.0","0.0",,"63","44",,"   40","   30","30.0","36.9","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-14","7.38",,"0.00",,"0.0","0.0",,"69","36",,"  140","  140","17.0","19.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-15","16.33",,"0.10",,"0.0","0.0",,"82","44",,"  200","  220","38.9","59.1","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-16","10.74",,"0.85",,"0.0","0.0",,"71","50",,"   40","   50","21.9","27.1","    1",,"    1",,"    1",,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-17","8.28",,"0.00",,"0.0","0.0",,"72","46",,"  140","  140","23.0","28.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-18","10.51",,"0.03",,"0.0","0.0",,"73","40",,"  280","  280","28.0","36.9","    1","    1","    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-19","17.22",,"0.00",,"0.0","0.0",,"61","40",,"  340","  340","38.9","53.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-20","8.28",,"0.20",,"0.0","0.0",,"67","38",,"  200","  210","23.0","31.1","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-21","8.95",,"0.00",,"0.0","0.0",,"76","42",,"  150","  140","25.9","30.0",,,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-22","14.99",,"0.00",,"0.0","0.0",,"72","51",,"  130","  120","23.0","29.1",,,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-23","14.32",,"0.00",,"0.0","0.0",,"70","53",,"  140","  130","23.0","29.1","    1","    1",,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-24","21.92",,"0.00",,"0.0","0.0",,"76","52",,"  230","  220","44.1","55.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-25","13.65",,"0.00",,"0.0","0.0",,"81","52",,"  280","  260","23.9","31.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-26","14.32",,"0.05",,"0.0","0.0",,"76","48",,"   90","  230","33.1","42.9","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-27","22.37",,"1.71",,"0.0","0.0",,"50","38",,"   20","   20","36.0","45.0","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-28","12.08",,"0.00",,"0.0","0.0",,"63","40",,"   20","   10","25.1","31.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-29","6.71",,"0.00",,"0.0","0.0",,"70","40",,"  150","  210","13.0","17.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-04-30","14.09",,"0.00",,"0.0","0.0",,"80","47",,"  150","  190","23.0","30.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-01","14.99",,"0.00",,"0.0","0.0",,"80","47",,"  150","  140","23.9","31.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-02","15.43",,"0.00",,"0.0","0.0",,"84","56",,"  180","  190","28.0","35.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-03","14.76",,"0.00",,"0.0","0.0",,"85","56",,"  240","  240","30.0","38.0",,,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-04","12.53",,"0.08",,"0.0","0.0",,"79","55",,"  150","  150","28.0","34.0","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-05","11.41",,"1.02",,"0.0","0.0",,"73","52",,"  240","  240","49.0","64.0","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-06","17.00",,"0.00",,"0.0","0.0",,"80","50",,"  220","  210","35.1","40.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-07","12.75",,"0.06",,"0.0","0.0",,"74","55",,"  130","  140","25.1","31.1","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-08","12.30",,"0.20",,"0.0","0.0",,"69","52",,"   80","   80","25.9","30.0","    1","    1","    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-09","13.20",,"1.50",,"0.0","0.0",,"77","48",,"  280","  280","36.0","51.0","    1",,"    1",,"    1",,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-10","11.18",,"0.00",,"0.0","0.0",,"67","42",,"  360","  340","21.9","28.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-11","10.29",,"0.00",,"0.0","0.0",,"64","40",,"   10","  350","21.0","25.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-12","13.65",,"0.00",,"0.0","0.0",,"69","44",,"  140","  130","23.0","32.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-13","10.96",,"0.94",,"0.0","0.0",,"72","51",,"  190","  190","23.0","33.1","    1","    1","    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-14","13.65",,"0.02",,"0.0","0.0",,"81","51",,"  210","  210","38.0","47.0","    1","    1","    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-15","16.11",,"0.00",,"0.0","0.0",,"80","53",,"  170","  180","29.1","36.0","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-16","14.99",,"1.20",,"0.0","0.0",,"76","55",,"  240","  240","38.0","44.1","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-17","9.62",,"0.00",,"0.0","0.0",,"74","45",,"  260","  240","28.0","36.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-18","12.53",,"0.00",,"0.0","0.0",,"79","47",,"   90","   80","23.9","31.1",,,,,,,,,,
